range , n golden(f), n quadratic(f), n golden(g), n quadratic(g), n golden(h), n quadratic(h)
50 , -0.06231527164482564 , -8.881784197001252e-16 , -0.024084226426388078 , 0.0 , -0.04639973044745305 , -0.5597092425055019
52 , -0.03225327687112456 , -1.3322676295501878e-15 , -0.02443418948432896 , 0.0 , -0.04946166400000074 , -0.5599211965752803
54 , -0.043263570817633656 , -4.440892098500626e-16 , -0.03567073078704386 , 0.0 , -0.020054332679146913 , -0.5601098756219816
56 , -0.023047880001410448 , -4.440892098500626e-16 , -0.05098291551074663 , 0.0 , -0.04652696114574617 , -0.560278568658364
58 , -0.036500532269052144 , -4.440892098500626e-16 , -0.04243861193125564 , 0.0 , -0.021187031314400917 , -0.5604300033211738
60 , -0.04599900843406779 , -27.7 , -0.03878134285897872 , 0.0 , -0.014660396327580871 , -0.5605664570975342
62 , -0.050544183900816275 , -28.7 , -0.05562357523128014 , 0.0 , -0.037128004032534134 , -0.5606898436544583
64 , -0.05070270877022853 , -29.7 , -0.016857349400304145 , 0.0 , -0.03671846423641312 , -0.5608017804450336
66 , -0.028460756083062755 , -30.7 , -0.03304818257221509 , 0.0 , -0.021866123179391517 , -0.5609036420939728
68 , -0.017813701417158434 , -31.7 , -0.02484344907687941 , 0.0 , -0.027113994225503646 , -0.5609966028822768
70 , -0.034839556529377536 , -32.7 , -0.06041882074383409 , 0.0 , -0.03495931071015024 , -0.561081670803418
72 , -0.06741824529627305 , -33.7 , -0.03829638000124547 , 0.0 , -0.024788453150535128 , -0.5611597150498306
74 , -0.04607909628339968 , -34.7 , -0.04257117028642554 , 0.0 , -0.038213073943934805 , -0.5612314883396023
76 , -0.05419254632426718 , -35.7 , -0.061445223922032 , 0.0 , -0.05382947903001001 , -0.561297645161678
78 , -0.059407071355634944 , -36.7 , -0.019136221000080056 , 0.0 , -0.05135522557041061 , -0.5613587567707805
80 , -0.02464520502268641 , -37.7 , -0.02725145775760396 , 0.0 , -0.07263589072964005 , -0.5614153235774951
82 , -0.04450986694504655 , -38.7 , -0.03166148982342598 , 0.0 , -0.03695178799788468 , -0.5614677854382414
84 , -0.04317731200000008 , -39.7 , -0.06818836715217014 , 0.0 , -0.039691521224493265 , -0.5615165302424153
86 , -0.03523133555757196 , -40.7 , -0.02387646191763171 , 0.0 , -0.02939775998442884 , -0.5615619011113687
88 , -0.04922620832953584 , -41.7 , -0.012703194316899591 , 0.0 , -0.035275245332924365 , -0.561604202459947
90 , -0.0371378659699122 , -42.7 , -0.03659220996925061 , 0.0 , -0.026464426002115404 , -0.5616437051214747
92 , -0.046460811719784 , -43.7 , -0.01783625192287719 , 0.0 , -0.0353475564049095 , -0.5616806506980236
94 , -0.027032045753458522 , -44.7 , -0.03616835461229151 , 0.0 , -0.04631738270488439 , -0.5617152552669965
96 , -0.03337905067125346 , -45.7 , -0.05262833099043274 , 0.0 , -0.042133500643424915 , -0.5617477125506306
98 , -0.05653567533383708 , -46.7 , -0.01874232129932807 , 0.0 , -0.05593167352966244 , -0.5617781966355826
100 , -0.05864744730982263 , -47.7 , -0.02844919356733122 , 0.0 , -0.026460891356798077 , -0.5618068643141362
102 , -0.03210494762321758 , -48.7 , -0.01660051410200314 , 0.0 , -0.04447835571933112 , -0.5618338571060323
104 , -0.030012471076012126 , -49.7 , -0.019202191673471702 , 0.0 , -0.04461043500336537 , -0.5618593030097789
106 , -0.045223358246080814 , -50.7 , -0.018672314411066537 , 0.0 , -0.01614823911302765 , -0.5618833180240222
108 , -0.04013753330077208 , -51.7 , -0.046101392059624935 , 0.0 , -0.038118459441038643 , -0.5619060074728641
110 , -0.033234471368471574 , -52.7 , -0.040270280698835315 , 0.0 , -0.04118456108647828 , -0.5619274671634696
112 , -0.045530908855592855 , -53.7 , -0.03355460248114994 , 0.0 , -0.06565827079764075 , -0.5619477843998033
114 , -0.03476927908315153 , -54.7 , -0.05346266750848638 , 0.0 , -0.039562260710848784 , -0.5619670388725614
116 , -0.04416980709978757 , -55.7 , -0.03877746337497623 , 0.0 , -0.067261261642374 , -0.5619853034423006
118 , -0.028531622056809702 , -56.7 , -0.05362030129255668 , 0.0 , -0.042558869601721394 , -0.5620026448301535
