range , n golden(f), n quadratic(f), n golden(g), n quadratic(g), n golden(h), n quadratic(h)
50 , 14 , 2 , 14 , 2 , 14 , 5
52 , 14 , 2 , 15 , 2 , 14 , 5
54 , 15 , 2 , 15 , 2 , 15 , 5
56 , 15 , 2 , 15 , 2 , 15 , 5
58 , 15 , 2 , 15 , 2 , 15 , 5
60 , 15 , 2 , 15 , 2 , 15 , 5
62 , 15 , 2 , 15 , 2 , 15 , 5
64 , 15 , 2 , 15 , 2 , 15 , 5
66 , 15 , 2 , 15 , 2 , 15 , 5
68 , 15 , 2 , 15 , 2 , 15 , 5
70 , 15 , 2 , 15 , 2 , 15 , 5
72 , 15 , 2 , 15 , 2 , 15 , 5
74 , 15 , 2 , 15 , 2 , 15 , 5
76 , 15 , 2 , 15 , 2 , 15 , 5
78 , 15 , 2 , 15 , 2 , 15 , 5
80 , 15 , 2 , 15 , 2 , 15 , 5
82 , 15 , 2 , 15 , 2 , 15 , 5
84 , 16 , 2 , 15 , 2 , 15 , 5
86 , 16 , 2 , 16 , 2 , 16 , 5
88 , 16 , 2 , 16 , 2 , 16 , 5
90 , 16 , 2 , 16 , 2 , 16 , 5
92 , 16 , 2 , 16 , 2 , 16 , 5
94 , 16 , 2 , 16 , 2 , 16 , 5
96 , 16 , 2 , 16 , 2 , 16 , 5
98 , 16 , 2 , 16 , 2 , 16 , 5
100 , 16 , 2 , 16 , 2 , 16 , 5
102 , 16 , 2 , 16 , 2 , 16 , 5
104 , 16 , 2 , 16 , 2 , 16 , 5
106 , 16 , 2 , 16 , 2 , 16 , 5
108 , 16 , 2 , 16 , 2 , 16 , 5
110 , 16 , 2 , 16 , 2 , 16 , 5
112 , 16 , 2 , 16 , 2 , 16 , 5
114 , 16 , 2 , 16 , 2 , 16 , 5
116 , 16 , 2 , 16 , 2 , 16 , 5
118 , 16 , 2 , 16 , 2 , 16 , 5
120 , 16 , 2 , 16 , 2 , 16 , 5
122 , 16 , 2 , 16 , 2 , 16 , 5
124 , 16 , 2 , 16 , 2 , 16 , 5
126 , 16 , 2 , 16 , 2 , 16 , 5
128 , 16 , 2 , 16 , 2 , 16 , 5
130 , 16 , 2 , 16 , 2 , 16 , 5
132 , 16 , 2 , 16 , 2 , 16 , 5
134 , 16 , 2 , 16 , 2 , 16 , 5
136 , 17 , 2 , 16 , 2 , 16 , 5
138 , 17 , 2 , 16 , 2 , 17 , 5
140 , 17 , 2 , 17 , 2 , 17 , 5
142 , 17 , 2 , 16 , 2 , 17 , 5
144 , 17 , 2 , 17 , 2 , 17 , 5
146 , 17 , 2 , 17 , 2 , 17 , 5
148 , 17 , 2 , 17 , 2 , 17 , 5
150 , 17 , 2 , 17 , 2 , 17 , 5
152 , 17 , 2 , 17 , 2 , 17 , 5
154 , 17 , 2 , 17 , 2 , 17 , 5
156 , 17 , 2 , 17 , 2 , 17 , 5
158 , 17 , 2 , 17 , 2 , 17 , 5
160 , 17 , 2 , 17 , 2 , 17 , 5
162 , 17 , 2 , 17 , 2 , 17 , 5
164 , 17 , 2 , 17 , 2 , 17 , 5
166 , 17 , 2 , 17 , 2 , 17 , 5
168 , 17 , 2 , 17 , 2 , 17 , 5
170 , 17 , 2 , 17 , 2 , 17 , 5
172 , 17 , 2 , 17 , 2 , 17 , 5
174 , 17 , 2 , 17 , 2 , 17 , 5
176 , 17 , 2 , 17 , 2 , 17 , 5
178 , 17 , 2 , 17 , 2 , 17 , 5
180 , 17 , 2 , 17 , 2 , 17 , 5
182 , 17 , 2 , 17 , 2 , 17 , 5
184 , 17 , 2 , 17 , 2 , 17 , 5
186 , 17 , 2 , 17 , 2 , 17 , 5
188 , 17 , 2 , 17 , 2 , 17 , 5
190 , 17 , 2 , 17 , 2 , 17 , 5
192 , 17 , 2 , 17 , 2 , 17 , 5
194 , 17 , 2 , 17 , 2 , 17 , 5
196 , 17 , 2 , 17 , 2 , 17 , 5
198 , 17 , 2 , 17 , 2 , 17 , 5
200 , 17 , 2 , 17 , 2 , 17 , 5
202 , 17 , 2 , 17 , 2 , 17 , 5
204 , 17 , 2 , 17 , 2 , 17 , 5
206 , 17 , 2 , 17 , 2 , 17 , 5
208 , 17 , 2 , 17 , 2 , 17 , 5
210 , 17 , 2 , 17 , 2 , 17 , 5
212 , 17 , 2 , 17 , 2 , 17 , 5
214 , 17 , 2 , 17 , 2 , 17 , 5
216 , 17 , 2 , 17 , 2 , 18 , 5
218 , 18 , 2 , 17 , 2 , 18 , 5
220 , 17 , 2 , 17 , 2 , 18 , 5
222 , 18 , 2 , 17 , 2 , 18 , 5
224 , 18 , 2 , 18 , 2 , 18 , 5
226 , 18 , 2 , 18 , 2 , 18 , 5
228 , 18 , 2 , 18 , 2 , 18 , 5
230 , 18 , 2 , 18 , 2 , 18 , 5
232 , 18 , 2 , 18 , 2 , 18 , 5
234 , 18 , 2 , 18 , 2 , 18 , 5
236 , 18 , 2 , 18 , 2 , 18 , 5
238 , 18 , 2 , 18 , 2 , 18 , 5
240 , 18 , 2 , 18 , 2 , 18 , 5
242 , 18 , 2 , 18 , 2 , 18 , 5
244 , 18 , 2 , 18 , 2 , 18 , 5
246 , 18 , 2 , 18 , 2 , 18 , 5
248 , 18 , 2 , 18 , 2 , 18 , 5
